"ANNUS";"Sub_Div";"RECT";"Area";"0";"1";"2";"3";"4";"5";"6";"7";"8"
1994,00;"25";"40G5";1012,90;15,02;80,48;109,22;241,39;253,13;224,20;45,25;39,43;10,34
1994,00;"25";"40G6";1013,00;122,11;74,12;194,13;657,64;453,97;113,46;62,74;17,97;3,73
1994,00;"25";"40G7";1013,00;51,54;25,21;63,52;154,70;119,05;46,28;22,77;11,25;12,17
1994,00;"25";"41G6";764,40;5,45;31,20;12,87;55,96;5,70;11,73;10,59;2,44;2,52
1994,00;"25";"41G7";1000,00;3,14;43,81;31,56;122,94;29,13;52,00;35,24;20,52;4,68
1994,00;"26";"37G9";151,60;18,36;4,22;0,00;0,00;1,41;0,00;0,00;0,00;0,00
1994,00;"26";"38G8";624,60;158,45;401,70;187,65;344,72;113,97;112,59;23,62;20,85;26,40
1994,00;"26";"38G9";918,20;137,24;75,04;109,17;157,04;172,03;178,71;76,93;9,49;12,15
1994,00;"26";"39G8";1026,00;0,00;7,59;11,68;29,57;36,26;12,08;1,89;0,69;0,19
1994,00;"26";"39G9";1026,00;0,80;40,77;122,12;476,83;451,52;180,29;87,07;47,23;25,70
1994,00;"26";"39H0";881,60;32,10;17,23;9,39;6,26;7,03;3,12;4,70;2,34;7,06
1994,00;"26";"40G8";1013,00;1,13;38,62;82,92;216,40;145,98;31,24;24,99;15,90;10,78
1994,00;"26";"40G9";1013,00;0,00;17,97;38,67;256,74;400,57;199,22;74,96;56,82;39,07
1994,00;"26";"40H0";1012,10;0,56;11,60;16,58;26,25;23,44;18,38;8,88;6,00;3,82
1994,00;"26";"41G8";1000,00;157,05;3,49;46,31;203,90;270,71;186,87;81,64;41,13;38,03
1994,00;"26";"41G9";1000,00;0,00;135,26;257,59;420,79;515,27;389,96;173,86;109,51;49,96
1994,00;"26";"41H0";953,30;134,74;71,83;53,86;103,29;116,76;89,84;58,41;26,96;44,87
1994,00;"27";"42G6";266,00;112,44;0,00;11,00;29,20;29,07;12,21;2,22;0,29;0,00
1994,00;"27";"42G7";986,90;1212,65;0,00;118,65;314,88;313,52;131,64;23,99;3,18;0,00
1994,00;"27";"43G7";913,80;527,43;90,44;131,92;342,83;142,84;37,75;18,79;0,00;3,09
1994,00;"27";"44G6";200,90;4,60;42,58;149,03;156,59;36,86;4,23;0,78;0,00;0,00
